iter	RMSE
0	13.96051716
1	13.08539158
2	12.28037476
3	11.5127381
4	10.83680523
5	10.33151559
6	9.808224389
7	9.325207259
8	8.942017322
9	8.536201407
10	8.164923719
11	7.88594604
12	7.642673005
13	7.422813484
14	7.192769861
15	6.976590242
16	6.816247944
17	6.636244897
18	6.490221338
19	6.360502537
20	6.261023177
21	6.188417612
22	6.09137619
23	6.004469246
24	5.925732495
25	5.874062735
26	5.79817579
27	5.743784933
28	5.701613458
29	5.647106683
30	5.60114123
31	5.565767843
32	5.528473707
33	5.493611418
34	5.472248277
35	5.441629822
36	5.420312564
37	5.390409341
38	5.365602467
39	5.344441894
40	5.330372417
41	5.315597362
42	5.300481091
43	5.291430738
44	5.274354413
45	5.254174336
46	5.244409412
47	5.229861257
48	5.219083535
49	5.198573629
50	5.174088631
51	5.15553351
52	5.141266391
53	5.134099515
54	5.123016891
55	5.113890779
56	5.103681367
57	5.094420308
58	5.079440273
59	5.073642809
60	5.063219585
61	5.046834123
62	5.034958775
63	5.023674558
64	5.016578991
65	5.008551524
66	5.00164362
67	4.996298798
68	4.977350567
69	4.962873268
70	4.956490731
71	4.953458729
72	4.947580088
73	4.946899485
74	4.930296893
75	4.924194266
76	4.908045526
77	4.90299927
78	4.896090121
79	4.880012085
80	4.870199823
81	4.864192889
82	4.848422768
83	4.845917194
84	4.83414704
85	4.82842428
86	4.818638196
87	4.807781857
88	4.790836266
89	4.783845205
90	4.779150497
91	4.759500227
92	4.752590457
93	4.73896301
94	4.727177068
95	4.723877461
96	4.710225596
97	4.703796289
98	4.69739416
99	4.688627567
