iter	RMSE
0	14.57288165
1	14.20256036
2	13.83777263
3	13.48201504
4	13.13020807
5	12.80674242
6	12.51485119
7	12.24936063
8	11.98784634
9	11.70275712
10	11.42849506
11	11.19657713
12	10.98674532
13	10.7332088
14	10.49975479
15	10.26903213
16	10.0552244
17	9.867628696
18	9.663144387
19	9.486376353
20	9.321056006
21	9.155892019
22	8.999719742
23	8.83531933
24	8.683020099
25	8.550311509
26	8.413213021
27	8.285100762
28	8.152739452
29	8.036419786
30	7.933962444
31	7.81057263
32	7.711298872
33	7.624034673
34	7.518628917
35	7.420214997
36	7.32898963
37	7.243033037
38	7.159671493
39	7.088701318
40	7.01935719
41	6.948696744
42	6.880761503
43	6.824145654
44	6.758767484
45	6.701362958
46	6.634791874
47	6.587222685
48	6.531918371
49	6.482287112
50	6.434301217
51	6.378569282
52	6.332918529
53	6.287232635
54	6.240765317
55	6.198209668
56	6.163496933
57	6.129004354
58	6.094919167
59	6.064563133
60	6.033088757
61	6.002027417
62	5.972725556
63	5.942613942
64	5.911819211
65	5.883472655
66	5.857809403
67	5.831771061
68	5.803020389
69	5.780406593
70	5.756155677
71	5.735904454
72	5.715787491
73	5.694977063
74	5.673015446
75	5.662304579
76	5.644612384
77	5.623396775
78	5.60309037
79	5.590372698
80	5.573691058
81	5.555716936
82	5.543136878
83	5.529743078
84	5.522877782
85	5.50763693
86	5.500430195
87	5.487649862
88	5.474027311
89	5.464701888
90	5.453308963
91	5.441888096
92	5.428868046
93	5.415709782
94	5.406301969
95	5.396789641
96	5.386826129
97	5.374765805
98	5.367033811
99	5.358170561
100	5.353551717
101	5.343540563
102	5.335576502
103	5.327917358
104	5.318426666
105	5.309378479
106	5.302516238
107	5.292266474
108	5.280566772
109	5.277587355
110	5.271104356
111	5.264650152
112	5.257315125
113	5.251527668
114	5.245246208
115	5.241697616
116	5.229462233
117	5.223718895
118	5.215789552
119	5.211670584
120	5.206330919
121	5.20023764
122	5.198309741
123	5.191644024
124	5.18811498
125	5.181324775
126	5.174892409
127	5.171802789
128	5.164182707
129	5.160288913
130	5.152442878
131	5.1440006
132	5.137442466
133	5.132634987
134	5.126660085
135	5.118928229
136	5.111641469
137	5.108027362
138	5.100966114
139	5.094929608
140	5.089363688
141	5.085004013
142	5.080349165
143	5.074812232
144	5.070078422
145	5.06555352
146	5.062376807
147	5.059363945
148	5.054491666
149	5.050523917
150	5.046699621
151	5.040247421
152	5.031180696
153	5.027481005
154	5.026985541
155	5.021799697
156	5.01888628
157	5.012783291
158	5.008783361
159	5.004156434
160	5.001192739
161	4.997910114
162	4.994126086
163	4.989340567
164	4.985162477
165	4.979207402
166	4.97568817
167	4.972160735
168	4.970216418
169	4.965695944
170	4.957220503
171	4.952502234
172	4.948817061
173	4.94396519
174	4.939936509
175	4.936163855
176	4.932557216
177	4.928685013
178	4.923491646
179	4.920917217
180	4.913273796
181	4.908926186
182	4.905938518
183	4.905383709
184	4.897962478
185	4.896008415
186	4.893430937
187	4.889707746
188	4.885739044
189	4.882151627
190	4.880237784
191	4.875622026
192	4.871616308
193	4.869033868
194	4.86549513
195	4.862181289
196	4.856779557
197	4.852725399
198	4.846061797
199	4.841773301
200	4.839057306
201	4.835731264
202	4.832575049
203	4.829184849
204	4.826825956
205	4.825178935
206	4.82245859
207	4.817196564
208	4.813901758
209	4.808342012
210	4.805687311
211	4.803513033
212	4.796514609
213	4.793149499
214	4.788411002
215	4.787069537
216	4.785757004
217	4.778663834
